Band,CV,Lambda,spike_utilization_mean,spike_utilization_std_dev,spike_utilization_hw,spike_utilization_ci_low,spike_utilization_ci_high,system_utilization_mean,system_utilization_std_dev,system_utilization_hw,system_utilization_ci_low,system_utilization_ci_high,response_time_mean,response_time_std_dev,response_time_hw,response_time_ci_low,response_time_ci_high
0,1.0,2.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.249966,0.015804,0.000969,0.248997,0.250935,0.499079,0.072411,0.004440,0.494639,0.503520
0,1.0,3.5,0.000059,0.000642,0.000039,0.000019,0.000098,0.425053,0.021120,0.001295,0.423758,0.426349,1.522618,0.409350,0.025102,1.497516,1.547720
0,1.0,5.0,0.025045,0.019651,0.001205,0.023840,0.026250,0.497631,0.019856,0.001218,0.496414,0.498849,3.417145,0.342384,0.020995,3.396149,3.438140
0,1.0,6.5,0.184636,0.054043,0.003314,0.181322,0.187950,0.613264,0.031170,0.001911,0.611353,0.615176,3.990905,0.237584,0.014569,3.976336,4.005474
0,1.0,8.0,0.415401,0.078336,0.004804,0.410598,0.420205,0.750235,0.038103,0.002337,0.747899,0.752572,4.015158,0.224426,0.013762,4.001396,4.028920
0,1.0,9.5,0.590856,0.088492,0.005426,0.585429,0.596282,0.847983,0.035402,0.002171,0.845812,0.850154,3.975715,0.231721,0.014209,3.961505,3.989924
0,1.0,11.0,0.681783,0.104047,0.006380,0.675402,0.688163,0.896625,0.034013,0.002086,0.894539,0.898711,3.999325,0.274933,0.016859,3.982466,4.016184
0,1.0,12.5,0.721709,0.122639,0.007520,0.714188,0.729229,0.920444,0.034349,0.002106,0.918338,0.922551,4.117642,0.303159,0.018590,4.099052,4.136232
0,1.0,14.0,0.745126,0.131016,0.008034,0.737092,0.753160,0.934192,0.032483,0.001992,0.932200,0.936184,4.260825,0.333100,0.020426,4.240399,4.281251
0,4.0,2.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.250278,0.022201,0.001361,0.248917,0.251640,0.792428,0.138189,0.008474,0.783954,0.800902
0,4.0,3.5,0.005954,0.007846,0.000481,0.005473,0.006436,0.402213,0.027216,0.001669,0.400544,0.403882,2.291696,0.375357,0.023017,2.268678,2.314713
0,4.0,5.0,0.099109,0.039125,0.002399,0.096710,0.101508,0.515314,0.034685,0.002127,0.513187,0.517441,3.393888,0.271371,0.016641,3.377247,3.410529
0,4.0,6.5,0.257063,0.066367,0.004070,0.252994,0.261133,0.630052,0.043219,0.002650,0.627402,0.632702,3.625600,0.218490,0.013398,3.612202,3.638998
0,4.0,8.0,0.403640,0.084323,0.005171,0.398470,0.408811,0.725321,0.046208,0.002834,0.722487,0.728154,3.675573,0.232091,0.014232,3.661341,3.689806
0,4.0,9.5,0.532332,0.098964,0.006069,0.526263,0.538400,0.800083,0.046634,0.002860,0.797223,0.802943,3.776082,0.246926,0.015142,3.760940,3.791224
0,4.0,11.0,0.634707,0.111731,0.006852,0.627856,0.641559,0.856448,0.044716,0.002742,0.853706,0.859190,3.940120,0.290849,0.017835,3.922285,3.957955
0,4.0,12.5,0.699905,0.114526,0.007023,0.692882,0.706928,0.891260,0.039619,0.002429,0.888830,0.893689,4.120289,0.311757,0.019117,4.101172,4.139407
0,4.0,14.0,0.739453,0.126925,0.007783,0.731670,0.747236,0.913043,0.037863,0.002322,0.910721,0.915364,4.285292,0.324699,0.019911,4.265381,4.305203
0,8.0,2.0,0.000019,0.000356,0.000022,-0.000003,0.000041,0.247690,0.033856,0.002076,0.245614,0.249766,1.187092,0.262594,0.016103,1.170989,1.203195
0,8.0,3.5,0.033942,0.023453,0.001438,0.032504,0.035381,0.359068,0.044209,0.002711,0.356357,0.361779,2.821105,0.338835,0.020778,2.800327,2.841883
0,8.0,5.0,0.183086,0.063448,0.003891,0.179195,0.186977,0.495950,0.061558,0.003775,0.492175,0.499725,3.203668,0.275455,0.016891,3.186776,3.220559
0,8.0,6.5,0.328885,0.085916,0.005268,0.323616,0.334153,0.610740,0.068969,0.004229,0.606511,0.614970,3.219015,0.261448,0.016032,3.202983,3.235048
0,8.0,8.0,0.454976,0.104635,0.006416,0.448560,0.461392,0.693405,0.070289,0.004310,0.689095,0.697715,3.307456,0.305822,0.018753,3.288703,3.326209
0,8.0,9.5,0.554841,0.113153,0.006939,0.547903,0.561780,0.753393,0.069487,0.004261,0.749132,0.757654,3.482020,0.359641,0.022054,3.459966,3.504074
0,8.0,11.0,0.628384,0.121443,0.007447,0.620937,0.635831,0.794958,0.066770,0.004094,0.790864,0.799053,3.721498,0.380625,0.023340,3.698157,3.744838
0,8.0,12.5,0.669958,0.128275,0.007866,0.662092,0.677824,0.822935,0.062931,0.003859,0.819076,0.826794,3.957875,0.400810,0.024578,3.933297,3.982454
0,8.0,14.0,0.702514,0.133062,0.008160,0.694355,0.710674,0.844041,0.059851,0.003670,0.840371,0.847711,4.172695,0.442965,0.027163,4.145532,4.199858
0,12.0,2.0,0.000069,0.000491,0.000030,0.000039,0.000099,0.246052,0.044629,0.002737,0.243315,0.248788,1.506432,0.362435,0.022225,1.484207,1.528657
0,12.0,3.5,0.061015,0.035476,0.002175,0.058840,0.063191,0.335782,0.062764,0.003849,0.331933,0.339631,3.056212,0.374778,0.022982,3.033230,3.079194
0,12.0,5.0,0.225892,0.079778,0.004892,0.221000,0.230784,0.471994,0.085917,0.005269,0.466726,0.477263,3.126108,0.319680,0.019603,3.106504,3.145711
0,12.0,6.5,0.361954,0.105933,0.006496,0.355458,0.368450,0.572922,0.094946,0.005822,0.567100,0.578744,3.080705,0.339072,0.020792,3.059913,3.101498
0,12.0,8.0,0.466465,0.122672,0.007522,0.458943,0.473988,0.638110,0.098250,0.006025,0.632085,0.644135,3.183863,0.419911,0.025750,3.158113,3.209612
0,12.0,9.5,0.535615,0.129448,0.007938,0.527677,0.543553,0.682271,0.099376,0.006094,0.676177,0.688365,3.379278,0.461324,0.028289,3.350989,3.407567
0,12.0,11.0,0.591869,0.137304,0.008420,0.583449,0.600288,0.716057,0.098122,0.006017,0.710040,0.722074,3.609850,0.498728,0.030583,3.579267,3.640433
0,12.0,12.5,0.616389,0.141659,0.008687,0.607703,0.625076,0.740950,0.095325,0.005845,0.735104,0.746795,3.864659,0.519969,0.031885,3.832774,3.896544
0,12.0,14.0,0.636433,0.160794,0.009860,0.626573,0.646293,0.761426,0.094857,0.005817,0.755610,0.767243,4.090510,0.591495,0.036271,4.054239,4.126781
5,1.0,2.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.249966,0.015804,0.000969,0.248997,0.250935,0.499079,0.072411,0.004440,0.494639,0.503520
5,1.0,3.5,0.000091,0.000822,0.000050,0.000040,0.000141,0.425082,0.021115,0.001295,0.423787,0.426377,1.522238,0.408822,0.025070,1.497169,1.547308
5,1.0,5.0,0.029301,0.021474,0.001317,0.027984,0.030618,0.499960,0.020812,0.001276,0.498684,0.501236,3.406403,0.343559,0.021067,3.385335,3.427470
5,1.0,6.5,0.202214,0.056635,0.003473,0.198741,0.205687,0.622297,0.032120,0.001970,0.620327,0.624266,3.940269,0.232053,0.014230,3.926040,3.954499
5,1.0,8.0,0.434729,0.076399,0.004685,0.430044,0.439414,0.757880,0.037489,0.002299,0.755581,0.760179,3.937251,0.207079,0.012698,3.924553,3.949949
5,1.0,9.5,0.605263,0.086129,0.005282,0.599981,0.610544,0.851613,0.034253,0.002100,0.849512,0.853713,3.900571,0.235391,0.014435,3.886136,3.915005
5,1.0,11.0,0.705852,0.105663,0.006479,0.699372,0.712331,0.902907,0.034242,0.002100,0.900807,0.905006,3.934472,0.273562,0.016775,3.917697,3.951247
5,1.0,12.5,0.748750,0.114961,0.007050,0.741701,0.755800,0.926595,0.033964,0.002083,0.924512,0.928678,4.065028,0.304880,0.018696,4.046332,4.083724
5,1.0,14.0,0.772351,0.125980,0.007725,0.764626,0.780076,0.940020,0.031811,0.001951,0.938069,0.941971,4.240225,0.340590,0.020885,4.219339,4.261110
5,4.0,2.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.250278,0.022201,0.001361,0.248917,0.251640,0.792428,0.138189,0.008474,0.783954,0.800902
5,4.0,3.5,0.006903,0.008417,0.000516,0.006387,0.007419,0.403098,0.027364,0.001678,0.401420,0.404776,2.291969,0.374995,0.022995,2.268974,2.314964
5,4.0,5.0,0.106464,0.039257,0.002407,0.104057,0.108871,0.519450,0.034452,0.002113,0.517338,0.521563,3.359895,0.263704,0.016171,3.343724,3.376066
5,4.0,6.5,0.267500,0.065025,0.003987,0.263513,0.271487,0.635777,0.042395,0.002600,0.633178,0.638377,3.575667,0.208007,0.012755,3.562911,3.588422
5,4.0,8.0,0.412574,0.088810,0.005446,0.407128,0.418020,0.728135,0.048792,0.002992,0.725143,0.731127,3.610884,0.226404,0.013883,3.597000,3.624767
5,4.0,9.5,0.549835,0.100579,0.006168,0.543668,0.556003,0.806668,0.046687,0.002863,0.803805,0.809531,3.714230,0.255664,0.015678,3.698552,3.729907
5,4.0,11.0,0.654624,0.106115,0.006507,0.648117,0.661131,0.861180,0.043540,0.002670,0.858511,0.863850,3.899349,0.292715,0.017950,3.881400,3.917299
5,4.0,12.5,0.725890,0.111406,0.006832,0.719059,0.732722,0.898073,0.038606,0.002367,0.895706,0.900441,4.081462,0.315123,0.019324,4.062138,4.100786
5,4.0,14.0,0.763785,0.122582,0.007517,0.756269,0.771302,0.918965,0.037791,0.002317,0.916648,0.921282,4.275062,0.348292,0.021358,4.253704,4.296420
5,8.0,2.0,0.000025,0.000374,0.000023,0.000002,0.000048,0.247706,0.033871,0.002077,0.245628,0.249783,1.186957,0.262339,0.016087,1.170870,1.203044
5,8.0,3.5,0.037638,0.024526,0.001504,0.036134,0.039142,0.362103,0.043875,0.002691,0.359412,0.364793,2.806884,0.328719,0.020157,2.786727,2.827042
5,8.0,5.0,0.189700,0.062465,0.003830,0.185869,0.193530,0.502405,0.060832,0.003730,0.498674,0.506135,3.165763,0.255513,0.015668,3.150095,3.181432
