CV_Interarrival,Arrival_Rate,response_time_mean,response_time_std_dev,response_time_hw,response_time_ci_low,response_time_ci_high,jobs_in_system_mean,jobs_in_system_std_dev,jobs_in_system_hw,jobs_in_system_ci_low,jobs_in_system_ci_high,system_utilization_mean,system_utilization_std_dev,system_utilization_hw,system_utilization_ci_low,system_utilization_ci_high,throughput_mean,throughput_std_dev,throughput_hw,throughput_ci_low,throughput_ci_high,diverted_jobs_mean,diverted_jobs_std_dev,diverted_jobs_hw,diverted_jobs_ci_low,diverted_jobs_ci_high,avg_servers_mean,avg_servers_std_dev,avg_servers_hw,avg_servers_ci_low,avg_servers_ci_high,scale_out_actions_mean,scale_out_actions_std_dev,scale_out_actions_hw,scale_out_actions_ci_low,scale_out_actions_ci_high,scale_in_actions_mean,scale_in_actions_std_dev,scale_in_actions_hw,scale_in_actions_ci_low,scale_in_actions_ci_high,scale_up_actions_mean,scale_up_actions_std_dev,scale_up_actions_hw,scale_up_actions_ci_low,scale_up_actions_ci_high,scale_down_actions_mean,scale_down_actions_std_dev,scale_down_actions_hw,scale_down_actions_ci_low,scale_down_actions_ci_high,spike_avg_speed_mean,spike_avg_speed_std_dev,spike_avg_speed_hw,spike_avg_speed_ci_low,spike_avg_speed_ci_high,spike_utilization_mean,spike_utilization_std_dev,spike_utilization_hw,spike_utilization_ci_low,spike_utilization_ci_high
1.0,2.0,0.499079,0.072411,0.004440,0.494639,0.503520,0.998977,0.147024,0.009016,0.989961,1.007992,0.249966,0.015804,0.000969,0.248997,0.250935,2.001256,0.030905,0.001895,1.999361,2.003152,0.000000,0.000000,0.000000,0.000000,0.000000,1.000444,0.005068,0.000311,1.000134,1.000755,0.043945,0.277931,0.017043,0.026902,0.060988,0.043945,0.277931,0.017043,0.026902,0.060988,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,3.5,1.522618,0.409350,0.025102,1.497516,1.547720,5.336113,1.446451,0.088698,5.247415,5.424812,0.425053,0.021120,0.001295,0.423758,0.426349,3.502199,0.053994,0.003311,3.498888,3.505510,0.272461,2.222471,0.136285,0.136176,0.408746,1.087017,0.150214,0.009211,1.077805,1.096228,2.294922,2.863280,0.175580,2.119341,2.470502,2.294922,2.851649,0.174867,2.120055,2.469789,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000059,0.000642,0.000039,0.000019,0.000098
1.0,5.0,3.417145,0.342384,0.020995,3.396149,3.438140,17.100575,1.930656,0.118391,16.982184,17.218965,0.497631,0.019856,0.001218,0.496414,0.498849,5.003265,0.080390,0.004930,4.998336,5.008195,81.896484,55.232336,3.386926,78.509559,85.283410,1.617991,0.284234,0.017430,1.600561,1.635420,11.824219,3.011928,0.184696,11.639523,12.008914,11.824219,2.963176,0.181706,11.642513,12.005925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.025045,0.019651,0.001205,0.023840,0.026250
1.0,6.5,3.990905,0.237584,0.014569,3.976336,4.005474,25.957959,2.003911,0.122883,25.835077,26.080842,0.613264,0.031170,0.001911,0.611353,0.615176,6.504267,0.104611,0.006415,6.497852,6.510682,467.416992,116.259649,7.129207,460.287785,474.546200,1.709664,0.264555,0.016223,1.693441,1.725887,11.945312,2.249131,0.137920,11.807393,12.083232,11.945313,2.137716,0.131088,11.814225,12.076400,0.119141,0.361198,0.022149,0.096991,0.141290,0.119141,0.358482,0.021983,0.097158,0.141123,1.001905,0.005754,0.000353,1.001552,1.002258,0.184636,0.054043,0.003314,0.181322,0.187950
1.0,8.0,4.015158,0.224426,0.013762,4.001396,4.028920,32.146660,2.322498,0.142419,32.004241,32.289079,0.750235,0.038103,0.002337,0.747899,0.752572,8.005228,0.129961,0.007969,7.997259,8.013198,907.663086,150.704442,9.241411,898.421675,916.904497,1.637859,0.244759,0.015009,1.622850,1.652868,9.881836,2.133543,0.130832,9.751004,10.012668,9.881836,1.932564,0.118508,9.763328,10.000343,1.718750,1.383819,0.084858,1.633892,1.803608,1.718750,1.378157,0.084511,1.634239,1.803261,1.033836,0.027266,0.001672,1.032164,1.035508,0.415401,0.078336,0.004804,0.410598,0.420205
1.0,9.5,3.975715,0.231721,0.014209,3.961505,3.989924,37.793060,2.853448,0.174977,37.618083,37.968038,0.847983,0.035402,0.002171,0.845812,0.850154,9.506118,0.151251,0.009275,9.496843,9.515393,1232.170898,192.112354,11.780603,1220.390295,1243.951502,1.584564,0.251335,0.015412,1.569152,1.599977,8.260742,2.008628,0.123172,8.137570,8.383914,8.260742,1.872104,0.114800,8.145942,8.375542,5.887695,2.047358,0.125547,5.762148,6.013242,5.887695,2.034426,0.124754,5.762941,6.012449,1.140102,0.050063,0.003070,1.137032,1.143172,0.590856,0.088492,0.005426,0.585429,0.596282
1.0,11.0,3.999325,0.274933,0.016859,3.982466,4.016184,44.024818,3.655996,0.224191,43.800627,44.249009,0.896625,0.034013,0.002086,0.894539,0.898711,11.007040,0.172218,0.010561,10.996480,11.017601,1369.334961,240.307945,14.736026,1354.598935,1384.070987,1.659099,0.287321,0.017619,1.641480,1.676718,7.702148,1.984829,0.121713,7.580436,7.823861,7.701172,1.874498,0.114947,7.586225,7.816119,8.582031,2.056653,0.126117,8.455914,8.708148,8.582031,2.017787,0.123734,8.458298,8.705765,1.256357,0.061250,0.003756,1.252601,1.260113,0.681783,0.104047,0.006380,0.675402,0.688163
1.0,12.5,4.117642,0.303159,0.018590,4.099052,4.136232,51.514984,4.894130,0.300115,51.214869,51.815099,0.920444,0.034349,0.002106,0.918338,0.922551,12.507967,0.199911,0.012259,12.495708,12.520226,1363.576172,289.395625,17.746152,1345.830020,1381.322324,1.806207,0.340415,0.020875,1.785332,1.827082,7.648438,1.883570,0.115503,7.532934,7.763941,7.647461,1.895545,0.116238,7.531223,7.763698,7.825195,2.210724,0.135565,7.689631,7.960760,7.826172,2.178061,0.133562,7.692610,7.959734,1.332447,0.086659,0.005314,1.327133,1.337761,0.721709,0.122639,0.007520,0.714188,0.729229
1.0,14.0,4.260825,0.333100,0.020426,4.240399,4.281251,59.693004,5.933405,0.363845,59.329160,60.056849,0.934192,0.032483,0.001992,0.932200,0.936184,14.009504,0.236113,0.014479,13.995025,14.023983,1317.403320,320.964645,19.682010,1297.721311,1337.085330,1.984095,0.377248,0.023133,1.960962,2.007228,7.698242,1.903785,0.116743,7.581499,7.814985,7.696289,1.740930,0.106756,7.589533,7.803045,6.015625,1.962939,0.120370,5.895255,6.135995,6.016602,1.872974,0.114853,5.901748,6.131455,1.390157,0.113552,0.006963,1.383194,1.397120,0.745126,0.131016,0.008034,0.737092,0.753160
4.0,2.0,0.792428,0.138189,0.008474,0.783954,0.800902,1.596025,0.328887,0.020168,1.575857,1.616193,0.250278,0.022201,0.001361,0.248917,0.251640,2.007668,0.128989,0.007910,1.999758,2.015578,0.000000,0.000000,0.000000,0.000000,0.000000,1.008792,0.040191,0.002465,1.006327,1.011256,0.346680,1.145320,0.070233,0.276447,0.416912,0.346680,1.143612,0.070128,0.276552,0.416808,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
