ScaleIn_Limit,Cooldown_S,Lambda,N_avg,S_avg,U_avg,C_tot,R0
1.0,5.0,2.0,1.0165,1.0000,0.0000,2.5413,0.7914
1.0,5.0,3.5,1.5529,1.0000,0.0050,3.8874,2.1991
1.0,5.0,5.0,2.0050,1.0017,0.0847,5.0974,3.1027
1.0,5.0,6.5,2.0901,1.0274,0.2178,5.4490,3.2658
1.0,5.0,8.0,2.1672,1.0865,0.3301,5.7766,3.2729
1.0,5.0,9.5,2.3003,1.1408,0.3994,6.2064,3.2697
1.0,5.0,11.0,2.5581,1.1801,0.4394,6.9138,3.2886
1.0,5.0,12.5,2.8905,1.1826,0.4144,7.7163,3.3180
1.0,5.0,14.0,3.2691,1.1707,0.3728,8.6091,3.3279
2.0,5.0,2.0,1.0148,1.0000,0.0000,2.5371,0.7921
2.0,5.0,3.5,1.5155,1.0000,0.0052,3.7940,2.2348
2.0,5.0,5.0,1.9316,1.0019,0.0901,4.9194,3.2315
2.0,5.0,6.5,1.9961,1.0304,0.2398,5.2373,3.4431
2.0,5.0,8.0,1.9748,1.1002,0.3819,5.3570,3.4688
2.0,5.0,9.5,2.0424,1.1755,0.4950,5.6880,3.5065
2.0,5.0,11.0,2.1705,1.2284,0.5642,6.1194,3.5657
2.0,5.0,12.5,2.3781,1.2664,0.5919,6.6949,3.6559
2.0,5.0,14.0,2.6532,1.2785,0.5916,7.3894,3.7442
5.0,5.0,2.0,1.0114,1.0000,0.0000,2.5286,0.7927
5.0,5.0,3.5,1.4299,1.0000,0.0059,3.5808,2.3360
5.0,5.0,5.0,1.7820,1.0024,0.1039,4.5591,3.5042
5.0,5.0,6.5,1.7539,1.0374,0.2801,4.6752,3.7495
5.0,5.0,8.0,1.6991,1.1235,0.4523,4.7558,3.7723
5.0,5.0,9.5,1.6680,1.2245,0.6096,4.9166,3.8261
5.0,5.0,11.0,1.6753,1.3189,0.7343,5.1566,3.9477
5.0,5.0,12.5,1.7429,1.4123,0.8249,5.5223,4.1251
5.0,5.0,14.0,1.8380,1.4929,0.8766,5.9037,4.3458
6.0,5.0,2.0,1.0099,1.0000,0.0000,2.5247,0.7929
6.0,5.0,3.5,1.3835,1.0000,0.0062,3.4650,2.3735
6.0,5.0,5.0,1.7096,1.0025,0.1074,4.3816,3.5881
6.0,5.0,6.5,1.6742,1.0382,0.2909,4.4875,3.8304
6.0,5.0,8.0,1.6247,1.1282,0.4681,4.5899,3.8464
6.0,5.0,9.5,1.5914,1.2284,0.6202,4.7403,3.9014
