siMax,R0_Mean,R0_Lower,R0_Upper,Spike_Jobs_Count,Spike_Jobs_Perc,Spike_Utilization
10,1.3609,1.3537,1.3680,314.8,30.74,39.53
20,2.5043,2.4936,2.5150,244.3,23.86,31.06
30,3.8831,3.8659,3.9002,219.6,21.44,27.99
40,5.4209,5.3970,5.4448,208.3,20.34,26.77
50,7.0903,7.0597,7.1208,204.6,19.98,26.26
60,8.8401,8.8037,8.8765,203.2,19.84,26.05
70,10.6414,10.5985,10.6844,202.3,19.76,25.98
80,12.4835,12.4349,12.5320,202.0,19.73,25.96
90,14.3402,14.2856,14.3949,201.8,19.70,25.95
100,16.2316,16.1703,16.2928,202.5,19.77,25.95
110,18.1158,18.0467,18.1848,202.1,19.74,25.96
120,20.0288,19.9530,20.1045,202.6,19.78,25.96
130,21.9442,21.8620,22.0264,202.4,19.76,25.98
140,23.8606,23.7716,23.9497,202.5,19.78,26.00
150,25.7840,25.6891,25.8789,202.3,19.76,26.01
