Increment,R0_mean,R0_hw,Spike_Avg_Speed_mean,Spike_Avg_Speed_hw,Spike_Utilization_mean,Spike_Utilization_hw
0.50,5.4109,0.0190,1.0019,0.0001,25.56,0.30
1.00,5.4077,0.0189,1.0024,0.0001,25.50,0.30
1.50,5.4064,0.0189,1.0026,0.0001,25.48,0.30
2.00,5.4057,0.0189,1.0028,0.0001,25.47,0.30
2.50,5.4053,0.0189,1.0028,0.0001,25.46,0.30
3.00,5.4051,0.0189,1.0029,0.0001,25.45,0.30
3.50,5.4049,0.0188,1.0029,0.0001,25.45,0.30
4.00,5.4047,0.0188,1.0030,0.0001,25.45,0.30
4.50,5.4046,0.0188,1.0030,0.0001,25.45,0.30
5.00,5.4046,0.0188,1.0030,0.0001,25.45,0.30
