clock,event,webServerJobs,spikeServerJobs,totalActiveJobs,avgSi,siMax
0.0,ARRIVAL,1,0,1,1.0,5
0.4,ARRIVAL,2,0,2,2.0,5
0.8,ARRIVAL,3,0,3,3.0,5
1.2,ARRIVAL,4,0,4,4.0,5
1.6,ARRIVAL,5,0,5,5.0,5
2.0,ARRIVAL,5,1,6,5.0,5
2.4,ARRIVAL,5,2,7,5.0,5
2.8,ARRIVAL,5,3,8,5.0,5
3.2,ARRIVAL,5,4,9,5.0,5
3.6,ARRIVAL,5,5,10,5.0,5
4.0,ARRIVAL,5,6,11,5.0,5
4.4,ARRIVAL,5,7,12,5.0,5
7.433333333333334,COMPLETION,4,7,11,4.0,5
8.0,ARRIVAL,4,8,12,4.0,5
9.033333333333331,COMPLETION,3,8,11,3.0,5
9.633333333333331,COMPLETION,2,8,10,2.0,5
9.899999999999999,COMPLETION,1,8,9,1.0,5
9.999999999999998,COMPLETION,0,8,8,0.0,5
12.0,COMPLETION,0,7,7,0.0,5
12.04,COMPLETION,0,6,6,0.0,5
14.439999999999998,COMPLETION,0,5,5,0.0,5
15.44,COMPLETION,0,4,4,0.0,5
15.973333333333333,COMPLETION,0,3,3,0.0,5
16.273333333333333,COMPLETION,0,2,2,0.0,5
16.433333333333334,COMPLETION,0,1,1,0.0,5
16.5,COMPLETION,0,0,0,0.0,5
20.0,ARRIVAL,1,0,1,1.0,5
20.6,ARRIVAL,2,0,2,2.0,5
21.2,ARRIVAL,3,0,3,3.0,5
21.5,COMPLETION,2,0,2,2.0,5
21.8,ARRIVAL,3,0,3,3.0,5
22.4,ARRIVAL,4,0,4,4.0,5
23.0,ARRIVAL,5,0,5,5.0,5
23.500000000000004,COMPLETION,4,0,4,4.0,5
23.6,ARRIVAL,5,0,5,5.0,5
24.2,ARRIVAL,5,1,6,5.0,5
24.975,COMPLETION,4,1,5,4.0,5
25.2,COMPLETION,4,0,4,4.0,5
25.975,COMPLETION,3,0,3,3.0,5
26.575,COMPLETION,2,0,2,2.0,5
26.875,COMPLETION,1,0,1,1.0,5
27.0,COMPLETION,0,0,0,0.0,5
