clock,event,scalingCheck,activeWebServers,hMetric,hScaleOutLimit,hScaleInLimit,hCooldown,spikeSpeed,vMetric,vUpperLimit,vLowerLimit,vCooldown
0.0,ARRIVAL,BOTH,1,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
1.0,ARRIVAL,BOTH,1,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
1.5,ARRIVAL,BOTH,1,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2.0,ARRIVAL,BOTH,1,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
4.0,COMPLETION,BOTH,2,2.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
4.0,COMPLETION,BOTH,2,2.0,2.0,0.5,4.0,0.0,0.0,0.0,0.0,0.0
4.0,SCALE_CHECK_VERTICAL,VERTICAL,2,2.0,2.0,0.5,4.0,0.0,0.0,0.0,0.0,0.0
4.25,COMPLETION,BOTH,2,3.125,2.0,0.5,3.75,0.0,0.0,0.0,0.0,0.0
4.75,COMPLETION,BOTH,2,3.1666666666666665,2.0,0.5,3.25,0.0,0.0,0.0,0.0,0.0
5.0,COMPLETION,BOTH,2,3.375,2.0,0.5,3.0,0.0,0.0,0.0,0.0,0.0
8.0,SCALE_CHECK_HORIZONTAL,HORIZONTAL,3,3.375,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
8.0,SCALE_CHECK_HORIZONTAL,HORIZONTAL,3,3.375,2.0,0.5,4.0,0.0,0.0,0.0,0.0,0.0
8.0,SCALE_CHECK_VERTICAL,VERTICAL,3,3.375,2.0,0.5,4.0,0.0,0.0,0.0,0.0,0.0
11.0,ARRIVAL,BOTH,3,3.375,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0
11.0,ARRIVAL,BOTH,3,3.375,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0
12.0,SCALE_CHECK_HORIZONTAL,HORIZONTAL,3,3.375,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
12.0,SCALE_CHECK_VERTICAL,VERTICAL,3,3.375,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
