clock,event,scalingCheck,activeWebServers,hMetric,hScaleOutLimit,hScaleInLimit,hCooldown,spikeSpeed,vMetric,vUpperLimit,vLowerLimit,vCooldown
1.0,ARRIVAL,BOTH,1,0.0,0.0,0.0,0.0,4.0,1.0,3.0,1.0,0.0
1.3,ARRIVAL,BOTH,1,0.0,0.0,0.0,0.0,4.0,1.0,3.0,1.0,0.0
1.6,ARRIVAL,BOTH,1,0.0,0.0,0.0,0.0,4.0,2.0,3.0,1.0,0.0
1.9000000000000001,ARRIVAL,BOTH,1,0.0,0.0,0.0,0.0,8.0,3.0,3.0,1.0,0.0
1.9000000000000001,ARRIVAL,BOTH,1,0.0,0.0,0.0,0.0,8.0,3.0,3.0,1.0,4.0
2.2,ARRIVAL,BOTH,1,0.0,0.0,0.0,0.0,8.0,4.0,3.0,1.0,3.7
2.3,COMPLETION,BOTH,1,0.0,0.0,0.0,0.0,8.0,3.0,3.0,1.0,3.6
2.5,ARRIVAL,BOTH,1,0.0,0.0,0.0,0.0,8.0,4.0,3.0,1.0,3.4
2.8,ARRIVAL,BOTH,1,0.0,0.0,0.0,0.0,8.0,5.0,3.0,1.0,3.1
3.591666666666667,COMPLETION,BOTH,1,0.0,0.0,0.0,0.0,8.0,4.0,3.0,1.0,2.31
3.8916666666666666,COMPLETION,BOTH,1,0.0,0.0,0.0,0.0,8.0,3.0,3.0,1.0,2.01
4.0,SCALE_CHECK_HORIZONTAL,HORIZONTAL,1,0.0,0.0,0.0,0.0,8.0,3.0,3.0,1.0,1.9
4.191666666666666,COMPLETION,BOTH,1,0.0,0.0,0.0,0.0,8.0,2.0,3.0,1.0,1.71
4.375,COMPLETION,BOTH,1,0.0,0.0,0.0,0.0,8.0,1.0,3.0,1.0,1.53
4.45,COMPLETION,BOTH,1,0.0,0.0,0.0,0.0,8.0,0.0,3.0,1.0,1.45
5.300000000000001,COMPLETION,BOTH,1,0.0,0.0,0.0,0.0,8.0,0.0,3.0,1.0,0.6
5.9,SCALE_CHECK_VERTICAL,VERTICAL,1,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0
5.9,SCALE_CHECK_VERTICAL,VERTICAL,1,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,4.0
8.0,SCALE_CHECK_HORIZONTAL,HORIZONTAL,1,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,1.9
9.9,SCALE_CHECK_VERTICAL,VERTICAL,1,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0
12.0,ARRIVAL,BOTH,1,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0
12.0,SCALE_CHECK_HORIZONTAL,HORIZONTAL,1,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0
12.5,COMPLETION,BOTH,1,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0
13.9,SCALE_CHECK_VERTICAL,VERTICAL,1,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0
15.0,ARRIVAL,BOTH,1,0.0,0.0,0.0,0.0,4.0,1.0,3.0,1.0,0.0
15.125,COMPLETION,BOTH,1,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0
16.0,SCALE_CHECK_HORIZONTAL,HORIZONTAL,1,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0
17.9,SCALE_CHECK_VERTICAL,VERTICAL,1,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0
18.0,ARRIVAL,BOTH,1,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0
18.5,COMPLETION,BOTH,1,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0
20.0,SCALE_CHECK_HORIZONTAL,HORIZONTAL,1,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0
21.0,ARRIVAL,BOTH,1,0.0,0.0,0.0,0.0,4.0,1.0,3.0,1.0,0.0
21.125,COMPLETION,BOTH,1,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0
21.9,SCALE_CHECK_VERTICAL,VERTICAL,1,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0
24.0,ARRIVAL,BOTH,1,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0
24.0,SCALE_CHECK_HORIZONTAL,HORIZONTAL,1,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0
24.5,COMPLETION,BOTH,1,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0
25.0,SCALE_CHECK_VERTICAL,VERTICAL,1,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0
