clock,event,webServerJobs,spikeServerJobs,totalActiveJobs,avgSi,siMax
0.0,ARRIVAL,1,0,1,1.0,5
0.4,ARRIVAL,2,0,2,2.0,5
0.8,ARRIVAL,3,0,3,3.0,5
1.2,ARRIVAL,4,0,4,4.0,5
1.6,ARRIVAL,5,0,5,5.0,5
2.0,ARRIVAL,5,1,6,5.0,5
2.4,ARRIVAL,6,1,7,6.0,5
2.8,ARRIVAL,6,2,8,6.0,5
3.2,ARRIVAL,6,3,9,6.0,5
3.6,ARRIVAL,6,4,10,6.0,5
4.0,ARRIVAL,6,5,11,6.0,5
4.4,ARRIVAL,6,6,12,6.0,5
8.0,ARRIVAL,6,7,13,6.0,5
8.44,COMPLETION,5,7,12,5.0,5
8.606666666666667,COMPLETION,5,6,11,5.0,5
10.44,COMPLETION,4,6,10,4.0,5
11.086666666666666,COMPLETION,4,5,9,4.0,5
11.24,COMPLETION,3,5,8,3.0,5
11.639999999999999,COMPLETION,2,5,7,2.0,5
11.84,COMPLETION,1,5,6,1.0,5
12.0,COMPLETION,0,5,5,0.0,5
13.019999999999998,COMPLETION,0,4,4,0.0,5
13.819999999999999,COMPLETION,0,3,3,0.0,5
14.219999999999999,COMPLETION,0,2,2,0.0,5
14.419999999999998,COMPLETION,0,1,1,0.0,5
14.499999999999998,COMPLETION,0,0,0,0.0,5
20.0,ARRIVAL,1,0,1,1.0,5
20.6,ARRIVAL,2,0,2,2.0,5
21.2,ARRIVAL,3,0,3,3.0,5
21.5,COMPLETION,2,0,2,2.0,5
21.8,ARRIVAL,3,0,3,3.0,5
22.4,ARRIVAL,4,0,4,4.0,5
23.0,ARRIVAL,5,0,5,5.0,5
23.500000000000004,COMPLETION,4,0,4,4.0,5
23.6,ARRIVAL,5,0,5,5.0,5
24.2,ARRIVAL,5,1,6,5.0,5
24.975,COMPLETION,4,1,5,4.0,5
25.2,COMPLETION,4,0,4,4.0,5
25.975,COMPLETION,3,0,3,3.0,5
26.575,COMPLETION,2,0,2,2.0,5
26.875,COMPLETION,1,0,1,1.0,5
27.0,COMPLETION,0,0,0,0.0,5
